Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,1012361-annotations
Luxembourg,LUX,2015,413250140,
Luxembourg,LUX,2016,452765060,
Luxembourg,LUX,2017,470565380,
Luxembourg,LUX,2018,493208500,
Luxembourg,LUX,2019,514755970,
Luxembourg,LUX,2020,463406270,
Luxembourg,LUX,2021,509340260,
Luxembourg,LUX,2022,530120000,
Luxembourg,LUX,2023,520691170,
MAVA Foundation,,2013,32260994,
MAVA Foundation,,2014,25647056,
MAVA Foundation,,2015,16153646,
MAVA Foundation,,2016,14213788,
MAVA Foundation,,2017,75458280,
MAVA Foundation,,2018,61212460,
MAVA Foundation,,2019,42644970,
MAVA Foundation,,2020,72315050,
MAVA Foundation,,2021,73668360,
MAVA Foundation,,2022,57092020,
Malta,MLT,2009,14428402,
Malta,MLT,2010,14387572,
Malta,MLT,2011,19642996,
Malta,MLT,2012,18750202,
Malta,MLT,2013,18200292,
Malta,MLT,2014,20314370,
Malta,MLT,2015,18225414,
Malta,MLT,2016,22766636,
Malta,MLT,2017,27119026,
Malta,MLT,2018,34271424,
Malta,MLT,2019,43441700,
Malta,MLT,2020,54889428,
Malta,MLT,2021,50638970,
Malta,MLT,2022,60196772,
Malta,MLT,2023,62945668,
Margaret A. Cargill Foundation,,2016,61678744,
Margaret A. Cargill Foundation,,2017,55254704,
Margaret A. Cargill Foundation,,2018,55418468,
Margaret A. Cargill Foundation,,2019,50100924,
Margaret A. Cargill Foundation,,2020,47130240,
Margaret A. Cargill Foundation,,2021,53239210,
Margaret A. Cargill Foundation,,2022,53586500,
Mastercard Foundation,,2017,346417540,
Mastercard Foundation,,2018,310450370,
Mastercard Foundation,,2019,354685250,
Mastercard Foundation,,2020,1040212860,
Mastercard Foundation,,2021,1363452300,
Mastercard Foundation,,2022,1159303800,
McKnight Foundation,,2018,10707524,
McKnight Foundation,,2019,9927131,
McKnight Foundation,,2020,4387265,
MetLife Foundation,,2013,10879575,
MetLife Foundation,,2014,20652938,
MetLife Foundation,,2015,19291160,
MetLife Foundation,,2016,21298518,
MetLife Foundation,,2017,19604706,
MetLife Foundation,,2018,13275757,
MetLife Foundation,,2019,15925896,
MetLife Foundation,,2020,1546010,
Michael & Susan Dell Foundation,,2016,28469936,
Michael & Susan Dell Foundation,,2017,36639990,
Michael & Susan Dell Foundation,,2018,36069750,
Michael & Susan Dell Foundation,,2019,39877384,
Michael & Susan Dell Foundation,,2020,67025656,
Michael & Susan Dell Foundation,,2021,46383732,
Michael & Susan Dell Foundation,,2022,47071908,
Monaco,MCO,2021,22614998,
Monaco,MCO,2022,23800928,
Monaco,MCO,2023,23930048,
Montreal Protocol,,1997,57635830,
Montreal Protocol,,1998,214075660,
Montreal Protocol,,1999,60698812,
Montreal Protocol,,2000,80570376,
Montreal Protocol,,2001,109034820,
Montreal Protocol,,2002,88589050,
Montreal Protocol,,2003,87194580,
Montreal Protocol,,2004,72033020,
Montreal Protocol,,2005,97856590,
Montreal Protocol,,2006,92611060,
Montreal Protocol,,2007,100350776,
Montreal Protocol,,2008,76625400,
Montreal Protocol,,2009,30933058,
Montreal Protocol,,2010,21372842,
Montreal Protocol,,2011,7912308,
Montreal Protocol,,2012,4904521,
Montreal Protocol,,2013,37108260,
Montreal Protocol,,2014,44580140,
Montreal Protocol,,2015,49853304,
Multilateral organizations,,1960,726117900,e.g. World Bank and UN agencies
Multilateral organizations,,1961,1082355000,e.g. World Bank and UN agencies
Multilateral organizations,,1962,1583098400,e.g. World Bank and UN agencies
Multilateral organizations,,1963,2505380000,e.g. World Bank and UN agencies
Multilateral organizations,,1964,3192164900,e.g. World Bank and UN agencies
Multilateral organizations,,1965,4398677500,e.g. World Bank and UN agencies
Multilateral organizations,,1966,4640378000,e.g. World Bank and UN agencies
Multilateral organizations,,1967,5091267600,e.g. World Bank and UN agencies
Multilateral organizations,,1968,3956296200,e.g. World Bank and UN agencies
Multilateral organizations,,1969,5079977500,e.g. World Bank and UN agencies
Multilateral organizations,,1970,1482291100,e.g. World Bank and UN agencies
Multilateral organizations,,1971,1703259900,e.g. World Bank and UN agencies
Multilateral organizations,,1972,1527742300,e.g. World Bank and UN agencies
Multilateral organizations,,1973,2140620500,e.g. World Bank and UN agencies
Multilateral organizations,,1974,2924384800,e.g. World Bank and UN agencies
Multilateral organizations,,1975,2984125400,e.g. World Bank and UN agencies
Multilateral organizations,,1976,2242943500,e.g. World Bank and UN agencies
Multilateral organizations,,1977,2200921000,e.g. World Bank and UN agencies
Multilateral organizations,,1978,2666597400,e.g. World Bank and UN agencies
Multilateral organizations,,1979,3677285400,e.g. World Bank and UN agencies
Multilateral organizations,,1980,3273915400,e.g. World Bank and UN agencies
Multilateral organizations,,1981,4824185300,e.g. World Bank and UN agencies
Multilateral organizations,,1982,3989712000,e.g. World Bank and UN agencies
Multilateral organizations,,1983,4211668000,e.g. World Bank and UN agencies
Multilateral organizations,,1984,4766167000,e.g. World Bank and UN agencies
Multilateral organizations,,1985,4794045000,e.g. World Bank and UN agencies
Multilateral organizations,,1986,4447962000,e.g. World Bank and UN agencies
Multilateral organizations,,1987,3782443300,e.g. World Bank and UN agencies
Multilateral organizations,,1988,5325043000,e.g. World Bank and UN agencies
Multilateral organizations,,1989,5062480000,e.g. World Bank and UN agencies
Multilateral organizations,,1990,4468026000,e.g. World Bank and UN agencies
Multilateral organizations,,1991,5873110000,e.g. World Bank and UN agencies
Multilateral organizations,,1992,6310237700,e.g. World Bank and UN agencies
Multilateral organizations,,1993,5928212000,e.g. World Bank and UN agencies
Multilateral organizations,,1994,6920623000,e.g. World Bank and UN agencies
Multilateral organizations,,1995,6857624000,e.g. World Bank and UN agencies
Multilateral organizations,,1996,7001091000,e.g. World Bank and UN agencies
Multilateral organizations,,1997,7454715000,e.g. World Bank and UN agencies
Multilateral organizations,,1998,7271356400,e.g. World Bank and UN agencies
Multilateral organizations,,1999,7254049000,e.g. World Bank and UN agencies
Multilateral organizations,,2000,8234625000,e.g. World Bank and UN agencies
Multilateral organizations,,2001,10035701000,e.g. World Bank and UN agencies
Multilateral organizations,,2002,8506280400,e.g. World Bank and UN agencies
Multilateral organizations,,2003,9139701000,e.g. World Bank and UN agencies
Multilateral organizations,,2004,9892926000,e.g. World Bank and UN agencies
Multilateral organizations,,2005,10474997000,e.g. World Bank and UN agencies
Multilateral organizations,,2006,11095891000,e.g. World Bank and UN agencies
Multilateral organizations,,2007,11279058000,e.g. World Bank and UN agencies
Multilateral organizations,,2008,11904028000,e.g. World Bank and UN agencies
Multilateral organizations,,2009,12574817000,e.g. World Bank and UN agencies
Multilateral organizations,,2010,12328784000,e.g. World Bank and UN agencies
Multilateral organizations,,2011,15853738000,e.g. World Bank and UN agencies
Multilateral organizations,,2012,17022482000,e.g. World Bank and UN agencies
Multilateral organizations,,2013,14791085000,e.g. World Bank and UN agencies
Multilateral organizations,,2014,15186023000,e.g. World Bank and UN agencies
Multilateral organizations,,2015,14877914000,e.g. World Bank and UN agencies
Multilateral organizations,,2016,18511335000,e.g. World Bank and UN agencies
Multilateral organizations,,2017,17261623000,e.g. World Bank and UN agencies
Multilateral organizations,,2018,16906338000,e.g. World Bank and UN agencies
Multilateral organizations,,2019,15630041000,e.g. World Bank and UN agencies
Multilateral organizations,,2020,20787250000,e.g. World Bank and UN agencies
Multilateral organizations,,2021,19199277000,e.g. World Bank and UN agencies
Multilateral organizations,,2022,27165870000,e.g. World Bank and UN agencies
Multilateral organizations,,2023,34562556000,e.g. World Bank and UN agencies
Netherlands,NLD,1960,507410720,
Netherlands,NLD,1961,755551940,
Netherlands,NLD,1962,842511400,
Netherlands,NLD,1963,467596770,
Netherlands,NLD,1964,560067840,
Netherlands,NLD,1965,747685500,
Netherlands,NLD,1966,958467700,
Netherlands,NLD,1967,1109019800,
Netherlands,NLD,1968,1164166700,
Netherlands,NLD,1969,1261081300,
Netherlands,NLD,1970,1626754400,
Netherlands,NLD,1971,1601247000,
Netherlands,NLD,1972,1906998500,
Netherlands,NLD,1973,1599717100,
Netherlands,NLD,1974,1908443400,
Netherlands,NLD,1975,2273780700,
Netherlands,NLD,1976,2611974100,
Netherlands,NLD,1977,2831980800,
Netherlands,NLD,1978,2804291000,
Netherlands,NLD,1979,3425319700,
Netherlands,NLD,1980,3562151400,
Netherlands,NLD,1981,3929618200,
Netherlands,NLD,1982,3888861200,
Netherlands,NLD,1983,3305663700,
Netherlands,NLD,1984,3888007000,
Netherlands,NLD,1985,3542997200,
Netherlands,NLD,1986,3998517200,
Netherlands,NLD,1987,4006966500,
Netherlands,NLD,1988,4110997500,
Netherlands,NLD,1989,4083382800,
Netherlands,NLD,1990,4184894000,
Netherlands,NLD,1991,4132233500,
Netherlands,NLD,1992,4147893000,
Netherlands,NLD,1993,3955884300,
Netherlands,NLD,1994,3784199400,
Netherlands,NLD,1995,4192222700,
Netherlands,NLD,1996,4377843000,
Netherlands,NLD,1997,4484065000,
Netherlands,NLD,1998,4608399000,
Netherlands,NLD,1999,4883973600,
Netherlands,NLD,2000,5463049000,
Netherlands,NLD,2001,5461817000,
Netherlands,NLD,2002,5263117000,
Netherlands,NLD,2003,5114591700,
Netherlands,NLD,2004,4858305000,
Netherlands,NLD,2005,5793318000,
Netherlands,NLD,2006,5966624300,
Netherlands,NLD,2007,6119458000,
Netherlands,NLD,2008,6378579000,
Netherlands,NLD,2009,6058235400,
Netherlands,NLD,2010,6244310000,
Netherlands,NLD,2011,5922903000,
Netherlands,NLD,2012,5498728000,
Netherlands,NLD,2013,5172091000,
Netherlands,NLD,2014,5293553700,
Netherlands,NLD,2015,6453267500,
Netherlands,NLD,2016,5589263000,
Netherlands,NLD,2017,5404261000,
Netherlands,NLD,2018,5710201000,
Netherlands,NLD,2019,5469820000,
Netherlands,NLD,2020,5345472500,
Netherlands,NLD,2021,4943895000,
Netherlands,NLD,2022,6450170000,
Netherlands,NLD,2023,6583837700,
New Zealand,NZL,1961,102957600,
New Zealand,NZL,1962,81108440,
New Zealand,NZL,1963,84266550,
New Zealand,NZL,1964,91404824,
New Zealand,NZL,1965,91502800,
New Zealand,NZL,1966,93890070,
New Zealand,NZL,1967,92566030,
New Zealand,NZL,1968,108692350,
New Zealand,NZL,1969,126460904,
New Zealand,NZL,1970,137406820,
New Zealand,NZL,1971,143900030,
New Zealand,NZL,1972,153599790,
New Zealand,NZL,1973,160960700,
New Zealand,NZL,1974,224269490,
New Zealand,NZL,1975,382384740,
New Zealand,NZL,1976,310686660,
New Zealand,NZL,1977,269713600,
New Zealand,NZL,1978,233393500,
New Zealand,NZL,1979,261361090,
New Zealand,NZL,1980,252383120,
New Zealand,NZL,1981,229591300,
New Zealand,NZL,1982,223798780,
New Zealand,NZL,1983,219224850,
New Zealand,NZL,1984,213726930,
New Zealand,NZL,1985,213518940,
New Zealand,NZL,1986,227486420,
New Zealand,NZL,1987,210117570,
New Zealand,NZL,1988,212492820,
New Zealand,NZL,1989,186557260,
New Zealand,NZL,1990,198311170,
New Zealand,NZL,1991,213889140,
New Zealand,NZL,1992,219537780,
New Zealand,NZL,1993,214988580,
New Zealand,NZL,1994,219031330,
New Zealand,NZL,1995,216790400,
New Zealand,NZL,1996,200186600,
New Zealand,NZL,1997,262648100,
New Zealand,NZL,1998,270845600,
New Zealand,NZL,1999,281209660,
New Zealand,NZL,2000,271016130,
New Zealand,NZL,2001,277062880,
New Zealand,NZL,2002,272762980,
New Zealand,NZL,2003,291154000,
New Zealand,NZL,2004,315937020,
New Zealand,NZL,2005,373881400,
New Zealand,NZL,2006,374360320,
New Zealand,NZL,2007,391372770,
New Zealand,NZL,2008,435709630,
New Zealand,NZL,2009,424518900,
New Zealand,NZL,2010,396228930,
New Zealand,NZL,2011,435640960,
New Zealand,NZL,2012,451159580,
New Zealand,NZL,2013,439317200,
New Zealand,NZL,2014,469818600,
New Zealand,NZL,2015,486100500,
New Zealand,NZL,2016,483742620,
New Zealand,NZL,2017,462343400,
New Zealand,NZL,2018,578900740,
New Zealand,NZL,2019,592105600,
New Zealand,NZL,2020,562143200,
New Zealand,NZL,2021,647666600,
New Zealand,NZL,2022,515229980,
New Zealand,NZL,2023,745108000,
Non-DAC countries,,1966,2161867800,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1970,2520647200,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1971,2932939300,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1972,3775464700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1973,11585444000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1974,18790044000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1975,23716182000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1976,21362747000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1977,17558477000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1978,23394077000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1979,20174088000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1980,24714402000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1981,21549881000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1982,14723744000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1983,11443029000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1984,10941535000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1985,8997989000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1986,9445837000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1987,6492366300,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1988,3489903400,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1989,3262211600,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1990,11473237000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1991,5643893000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1992,2440017200,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1993,2267422700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1994,1966006300,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1995,1366326700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1996,1625260200,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1997,2005853800,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1998,2340260900,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,1999,1619649200,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2000,1588818400,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2001,1424510000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2002,4862217000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2003,4812600000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2004,3873307400,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2005,3321099500,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2006,4808233500,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2007,5608872000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2008,8103820000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2009,5927688700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2010,6291895000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2011,8155505700,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2012,5108883000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2013,14840569000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2014,23216480000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2015,11905736000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2016,16141491000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2017,16953162000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2018,20692711000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2019,17475291000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2020,16657317000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2021,18949464000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2022,17734490000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Non-DAC countries,,2023,15823009000,"Qatar, Saudi Arabia, Turkey, UAE, among others"
Nordic Development Fund,,1994,33190166,
Nordic Development Fund,,1995,59802268,
Nordic Development Fund,,1996,91930910,
Nordic Development Fund,,1997,65515404,
Nordic Development Fund,,1998,64092996,
Nordic Development Fund,,1999,53279910,
Nordic Development Fund,,2000,55158170,
Nordic Development Fund,,2001,48922360,
Nordic Development Fund,,2002,48408588,
Nordic Development Fund,,2003,68760430,
Nordic Development Fund,,2004,85239270,
Nordic Development Fund,,2005,74331330,
Nordic Development Fund,,2006,77585020,
Nordic Development Fund,,2007,71922136,
Nordic Development Fund,,2008,92001224,
Nordic Development Fund,,2009,67177970,
Nordic Development Fund,,2010,51836964,
Nordic Development Fund,,2011,51144612,
Nordic Development Fund,,2012,38082468,
Nordic Development Fund,,2013,28305656,
Nordic Development Fund,,2014,26165694,
Nordic Development Fund,,2015,13105775,
Nordic Development Fund,,2016,15900045,
Nordic Development Fund,,2017,18341520,
Nordic Development Fund,,2018,5237619,
Nordic Development Fund,,2019,-3680809,
Nordic Development Fund,,2020,22656544,
Nordic Development Fund,,2021,4892142,
Nordic Development Fund,,2022,1010334.94,
Nordic Development Fund,,2023,11876981,
North American Development Bank,,2020,112040,
North American Development Bank,,2021,908846,
North American Development Bank,,2022,799000,
North American Development Bank,,2023,231921,
Norway,NOR,1960,89252184,
Norway,NOR,1961,113844664,
Norway,NOR,1962,116577130,
Norway,NOR,1963,153160450,
Norway,NOR,1964,141985010,
Norway,NOR,1965,159913260,
Norway,NOR,1966,190414510,
Norway,NOR,1967,190853580,
Norway,NOR,1968,334665100,
Norway,NOR,1969,357175140,
Norway,NOR,1970,394487680,
Norway,NOR,1971,420751420,
Norway,NOR,1972,558511000,
Norway,NOR,1973,613354000,
Norway,NOR,1974,803675200,
Norway,NOR,1975,976789000,
Norway,NOR,1976,1123707900,
Norway,NOR,1977,1373008800,
Norway,NOR,1978,1530294100,
Norway,NOR,1979,1692975100,
Norway,NOR,1980,1651310600,
Norway,NOR,1981,1634014300,
Norway,NOR,1982,1991316900,
Norway,NOR,1983,2196709600,
Norway,NOR,1984,2142127000,
Norway,NOR,1985,2279670300,
Norway,NOR,1986,2738813700,
Norway,NOR,1987,2597274400,
Norway,NOR,1988,2650182400,
Norway,NOR,1989,2476499200,
Norway,NOR,1990,2840019700,
Norway,NOR,1991,2813594000,
Norway,NOR,1992,2933840600,
Norway,NOR,1993,2608703000,
Norway,NOR,1994,2912785000,
Norway,NOR,1995,2778624500,
Norway,NOR,1996,2861394400,
Norway,NOR,1997,3037005800,
Norway,NOR,1998,3301098000,
Norway,NOR,1999,3316259600,
Norway,NOR,2000,2992496600,
Norway,NOR,2001,3203786500,
Norway,NOR,2002,3640428500,
Norway,NOR,2003,3780746500,
Norway,NOR,2004,3657246500,
Norway,NOR,2005,4084356900,
Norway,NOR,2006,3943834600,
Norway,NOR,2007,4430985700,
Norway,NOR,2008,4187403800,
Norway,NOR,2009,4946229000,
Norway,NOR,2010,4814020000,
Norway,NOR,2011,4552045600,
Norway,NOR,2012,4567127600,
Norway,NOR,2013,5286329300,
Norway,NOR,2014,5151182300,
Norway,NOR,2015,5704148000,
Norway,NOR,2016,6182814000,
Norway,NOR,2017,5508369000,
Norway,NOR,2018,5238630400,
Norway,NOR,2019,5751158000,
Norway,NOR,2020,6161769000,
Norway,NOR,2021,5348843500,
Norway,NOR,2022,5160980000,
Norway,NOR,2023,6445713000,
Norwegian Postcode Lottery,,2018,599028,
Norwegian Postcode Lottery,,2019,2718659,
Norwegian Postcode Lottery,,2020,8206451.5,
Norwegian Postcode Lottery,,2021,10583821,
Norwegian Postcode Lottery,,2022,10726680,
OPEC Fund for International Development,,1977,558137200,
OPEC Fund for International Development,,1978,254533620,
OPEC Fund for International Development,,1979,232332860,
OPEC Fund for International Development,,1980,347208500,
OPEC Fund for International Development,,1981,629673500,
OPEC Fund for International Development,,1982,682847500,
OPEC Fund for International Development,,1983,463654300,
OPEC Fund for International Development,,1984,164807860,
OPEC Fund for International Development,,1985,117081220,
OPEC Fund for International Development,,1986,35534976,
OPEC Fund for International Development,,1987,-59858730,
OPEC Fund for International Development,,1988,-61984084,
OPEC Fund for International Development,,1989,-66240708,
OPEC Fund for International Development,,1990,-58630396,
OPEC Fund for International Development,,1991,-27459414,
OPEC Fund for International Development,,1992,-25340528,
OPEC Fund for International Development,,1993,-62410664,
OPEC Fund for International Development,,1994,-50660110,
OPEC Fund for International Development,,1995,-26924442,
OPEC Fund for International Development,,1996,-47312220,
OPEC Fund for International Development,,1997,-51722690,
OPEC Fund for International Development,,1998,-10912448,
OPEC Fund for International Development,,1999,10642086,
OPEC Fund for International Development,,2000,25887340,
OPEC Fund for International Development,,2001,74839470,
OPEC Fund for International Development,,2002,125785520,
OPEC Fund for International Development,,2003,75128350,
OPEC Fund for International Development,,2004,111797580,
OPEC Fund for International Development,,2005,69607380,
OPEC Fund for International Development,,2006,167684130,
OPEC Fund for International Development,,2007,218243550,
OPEC Fund for International Development,,2008,198058880,
OPEC Fund for International Development,,2009,177894100,
OPEC Fund for International Development,,2010,166791580,
OPEC Fund for International Development,,2011,137471460,
OPEC Fund for International Development,,2012,149298510,
OPEC Fund for International Development,,2013,212262220,
OPEC Fund for International Development,,2014,259233650,
OPEC Fund for International Development,,2015,187076670,
OPEC Fund for International Development,,2016,261001340,
OPEC Fund for International Development,,2017,292770780,
OPEC Fund for International Development,,2018,265942690,
OPEC Fund for International Development,,2019,-126026440,
OPEC Fund for International Development,,2020,15193818,
OPEC Fund for International Development,,2021,168307180,
OPEC Fund for International Development,,2022,430264130,
OPEC Fund for International Development,,2023,456208600,
OSCE,,2010,156105170,
OSCE,,2011,148385310,
OSCE,,2012,136045760,
OSCE,,2013,133799390,
OSCE,,2014,129897580,
OSCE,,2015,126524760,
OSCE,,2016,124572344,
OSCE,,2017,118200776,
OSCE,,2018,120402910,
OSCE,,2019,117955920,
OSCE,,2020,72823330,
OSCE,,2021,112363910,
OSCE,,2022,102471210,
OSCE,,2023,99110584,
Oak Foundation,,2017,118984040,
Oak Foundation,,2018,222611400,
Oak Foundation,,2019,146142380,
Oak Foundation,,2020,158496210,
Oak Foundation,,2021,153892450,
Oak Foundation,,2022,249982750,
Omidyar Network Fund,,2017,67371896,
Omidyar Network Fund,,2018,60852390,
Omidyar Network Fund,,2019,66850784,
Omidyar Network Fund,,2020,33001022,
Omidyar Network Fund,,2021,27855588,
Omidyar Network Fund,,2022,8636393,
Open Society Foundations,,2016,244906750,
Open Society Foundations,,2017,267586910,
Open Society Foundations,,2018,301303680,
Open Society Foundations,,2019,299422200,
Open Society Foundations,,2020,381404160,
Open Society Foundations,,2021,461568930,
Other multilateral organizations,,1974,28930214,
Other multilateral organizations,,1975,155764780,
Other multilateral organizations,,1976,245419800,
Other multilateral organizations,,1977,883275650,
Other multilateral organizations,,1978,891589700,
Other multilateral organizations,,1979,620807040,
Other multilateral organizations,,1980,610913340,
Other multilateral organizations,,1981,919910900,
Other multilateral organizations,,1982,917128640,
Other multilateral organizations,,1983,697869300,
Other multilateral organizations,,1984,305340480,
Other multilateral organizations,,1985,246652450,
Other multilateral organizations,,1986,252073580,
Other multilateral organizations,,1987,96245950,
Other multilateral organizations,,1988,70410936,
Other multilateral organizations,,1989,186262000,
Other multilateral organizations,,1990,58784270,
Other multilateral organizations,,1991,202426510,
Other multilateral organizations,,1992,455605300,
Other multilateral organizations,,1993,418026430,
Other multilateral organizations,,1994,526512160,
Other multilateral organizations,,1995,191430700,
Other multilateral organizations,,1996,252068850,
Other multilateral organizations,,1997,254135180,
Other multilateral organizations,,1998,497195970,
Other multilateral organizations,,1999,473006660,
Other multilateral organizations,,2000,607001800,
Other multilateral organizations,,2001,839373200,
Other multilateral organizations,,2002,858033200,
Other multilateral organizations,,2003,1039320800,
Other multilateral organizations,,2004,1562975900,
Other multilateral organizations,,2005,2054921100,
Other multilateral organizations,,2006,2415466000,
Other multilateral organizations,,2007,3773603300,
Other multilateral organizations,,2008,4648894000,
Other multilateral organizations,,2009,4326642000,
Other multilateral organizations,,2010,4909019000,
Other multilateral organizations,,2011,4766121500,
Other multilateral organizations,,2012,5822673400,
Other multilateral organizations,,2013,7272443000,
Other multilateral organizations,,2014,6355514000,
Other multilateral organizations,,2015,7309991400,
Other multilateral organizations,,2016,6940928500,
Other multilateral organizations,,2017,7786064400,
Other multilateral organizations,,2018,6550642700,
Other multilateral organizations,,2019,6950613000,
Other multilateral organizations,,2020,8404181500,
Other multilateral organizations,,2021,8419181600,
Other multilateral organizations,,2022,8936371000,
Other multilateral organizations,,2023,8584015000,
Other multilaterals not specified,,1960,918454900,
Other multilaterals not specified,,1961,1239131600,
Other multilaterals not specified,,1962,1291715200,
Other multilaterals not specified,,1963,1583445400,
Other multilaterals not specified,,1964,1626276400,
Other multilaterals not specified,,1965,1427271000,
Other multilaterals not specified,,1966,1783916700,
Other multilaterals not specified,,1967,1620189600,
Other multilaterals not specified,,1970,3597467,
Other multilaterals not specified,,1971,1285410,
Other multilaterals not specified,,1972,1112164,
Other multilaterals not specified,,1973,2162835,
Other multilaterals not specified,,1974,484078530,
Other multilaterals not specified,,1975,460696450,
Other multilaterals not specified,,1976,1316437600,
Other multilaterals not specified,,1977,3532311300,
Other multilaterals not specified,,1978,4607209000,
Other multilaterals not specified,,1979,1827991800,
Other multilaterals not specified,,1980,4000853000,
Other multilaterals not specified,,1981,1109546200,
Other multilaterals not specified,,1982,277530000,
Other multilaterals not specified,,1983,-91628376,
Other multilaterals not specified,,1984,-340137570,
Other multilaterals not specified,,1985,-759827900,
Other multilaterals not specified,,1986,-9032160,
Other multilaterals not specified,,1987,-13464550,
Other multilaterals not specified,,1988,3489903,
Other multilaterals not specified,,1989,-8317972,
Other multilaterals not specified,,1990,-15050006,
Other multilaterals not specified,,1991,-10151575,
Other multilaterals not specified,,1992,-23182102,
Other multilaterals not specified,,1993,-8416048,
Other multilaterals not specified,,1994,-12794889,
Other non-DAC countries,,1970,425547680,
Other non-DAC countries,,1971,390519940,
Other non-DAC countries,,1972,371296130,
Other non-DAC countries,,1973,1192971900,
Other non-DAC countries,,1974,2140049300,
Other non-DAC countries,,1975,1731238500,
Other non-DAC countries,,1976,461346020,
Other non-DAC countries,,1977,479415840,
Other non-DAC countries,,1978,554829100,
Other non-DAC countries,,1979,2440099600,
Other non-DAC countries,,1980,2890251500,
Other non-DAC countries,,1981,965170700,
Other non-DAC countries,,1982,280430240,
Other non-DAC countries,,1983,154068770,
Other non-DAC countries,,1984,-30143680,
Other non-DAC countries,,1985,71069350,
Other non-DAC countries,,1986,254533040,
